artist_id, avg_popularity
7wGjnIoZe8bOF7YIORuG64, 1.0
58d7AxR89Vy3cEhZouwP5r, 1.0
15P2tLfvj2h8gB2jPazYZn, 1.0
7m4maWVkU4NivdycY32Ho7, 1.0
1FwdRI2DLv5DUNVt1Uxmab, 9.2
6BMIS8rzPHyuLaKlvst7SQ, 9.2
7jpoyysXglc8D7E3gNbzJl, 7.0
0LurbH9ypFgX2NrylOvol2, 9.2
4B37cdxuoh9WjfDm3Hnal1, 9.2
4jBnvxnY6bIy6lHILYKq06, 9.2
2tTVdPVt610FdvaCLuTwky, 6.333333333333333
3tFlhYUfdxz9FofGTbNvFf, 6.0
3CEcyV9QYixnaxTiJrUGKL, 6.333333333333333
6yJeHcB1Ng5hgRKJ1Gk0tv, 6.333333333333333
0uB8p9fo0W3LxvmDtNCGsl, 2.5
3Au9iDQFXeVTubtrVCEVxs, 3.5
1vYmUws2SKuaC3phvLKh7T, 3.0
7vTB2zUXnQphcXhGFKZsTV, 1.25
4DrONf1KsdGRWXZqfDkskB, 1.25
4zKeOczRaHgeWvccKUQagx, 1.25
6tcIjUuGpb4oPfgxZm9NWs, 1.0
69ko8QP8Euv7EGXPYMPnlD, 1.25
7LVFGia4KWJ0lctKKeJHSA, 5.6
4Mil4SDPiUPJ9QeLZZe7oG, 4.0
3CUBlxRXruio8FTtCTmo25, 5.6
7zfY2ARkjgvlUDLs35NPsJ, 5.6
5c5kgEg9nBmCdcXI5Nl0DQ, 5.6
2PGZyXQhDKlBdYSpXtn2yb, 5.6
2V5eKMLtSqFfRQYeJrtF5D, 6.0
3l2xbXcA1ET8OkfAyGofEP, 5.666666666666667
1M2jMoULGANkoFlVWexRjh, 6.666666666666667
6dc4RgqOHJcFHeutYXRBGD, 5.666666666666667
5g94MUcfZ7UphLErsJ0mIh, 6.5
1ET7SMF37laLva26fjZ8Zp, 6.5
1D7A65KniyXLzXp3Hji7Fu, 7.0
0fKxqaG2dYbUzUmwbHoZpW, 6.5
3GDNkkJvkMgmflNOIhjSns, 5.0
1hZQccz1ygs41RtW8JaBh6, 6.5
4yi1XK2lFRZ6AJj3eiIcPD, 14.0
2QyNFLH6rz1zQmOpqF09kA, 4.0
08AbObbqTJreijr1HMOk9x, 4.0
448NExkop3FBIvY5RmWOAh, 4.0
23Xe3jlAj7vJH878Q7PW9L, 4.0
6LBmokxWdJj8fbOpS3o3V3, 4.0
75Aj3sIrvw4kzFDqc59HCA, 4.0
1dMTuWBIPip2xFJtn0yH4T, 19.0
