popularity,id,1_n,2_n
17,1PblbBCKiNJQ2O2TmXHReC,20.33333,20.09091
10,68ewcESxWiC9Sd1RZsdWDF,16.33333,19.44444
25,0DhTQscKk7XJt49yxEyqDV,11.28571,13.54000
1,5KGGD1shE8A3eHATVLpuRR,2.00000,1.50000
13,26vqH4OquRRTf6lnRe4gbX,39.50000,27.37037
35,77LWQfycyAtBuKgn1kGPbm,37.00000,46.11111
2,2nl535D3EuUAtR2IZJHWnD,9.75000,8.76471
47,6RwBaA9wZC0BPWZfmGeWMo,41.66667,49.42857
29,5UQM8cFr7oBMZYZjXaIWjO,28.00000,36.00000
6,6PlFUMCF1ICPkEyfmHdHSt,5.66667,5.77778
40,1qImAIy1ZVCgR5KD88QXkr,63.00000,39.00000
29,36NfRmhEeMBlaQXAG3CP9Q,54.22222,27.65446
8,3AXQpXAHBiljlyvBXVpNdS,8.00000,8.00000
1,2DAnoB32J1bWKDGqdsV3gD,7.50000,12.66667
14,1ydXYe717MvzFFTEaN2QCQ,5.00000,9.50000
1,3gSrwYCc96GXPmRWPm2MCv,10.00000,4.00000
3,4Wh0Q4bMdVHEEZcGgl2oBL,16.00000,9.70000
17,5CQ2EQMMUrdWkoViUxbgoG,16.53846,20.97209
45,5doDInHCvRMOOapyaos2AE,28.50000,27.09677
31,0Qq5ObryXEZSAuOX6Ykqut,59.00000,40.50000
36,4lUITAkAejruYm7VtkNJTb,20.50000,28.25000
23,7ByfNcFxztbyKLEIVKmFVc,18.00000,31.50000
27,2k1g0IrGtzPG8jjGCVtgB2,29.20000,40.75000
11,2BRMbCbu8E6OvX7sMXJ8u9,6.00000,11.00000
21,5jmB7Go3kmi3dY4FtyP5xc,23.00000,21.00000
1,75wnrl8ldToJIDAvMfgK3T,1.00000,1.00000
46,2bqyNDhVFDuK4wZUrZh6xy,44.00000,40.33333
66,50u2mXgysmTttY0BizYWAo,42.28571,45.13372
64,3OHpci0ruhvaMv9F795LR5,47.88889,52.87692
21,4WcSi3VfFu8KRt1aZQLDqU,36.66667,30.07143
26,7EZcJktHiIdBdcpL6sNOTc,24.80000,25.61538
5,4ttXdkR4QYefdd6JV5vYAT,6.66667,6.11111
47,4r1DHaB2yIhddOkTF92d1d,36.50000,54.00000
42,6RXNoNfqGTqlCIwAvzo4Xp,48.66667,48.87273
55,580taoAhpqvyGCRoJsVdw9,32.78571,38.55769
1,2vS0LN0nAOMumJqfKuzn1R,5.00000,3.00000
32,3Qol2r2jehhR5yKbmk1Dg4,38.43750,36.06748
7,60NbruMS3JEDkZLccSUhhi,24.00000,21.25000
10,3b7YUyF0OIxbhuDABIKyWI,9.00000,10.00000
50,6VqsZsM3fYFi3k0ZCniPO2,31.77778,33.50000
41,1869RmHh38ed6DIxtepXep,44.88889,45.24779
41,1BlAyhfXyu55YqhWpX5YtB,38.83333,26.13861
1,2efGVtahaKrPTuwwQTfOvV,4.00000,1.00000
26,1fB8FRxj2bxuM2ssxdyFq0,53.00000,52.13793
45,0IbD9X6mgxyaIKT3aqzioT,47.66667,41.00000
46,0q0K0FV5t8OnVpbIQTXOhI,42.00000,49.66667
3,2hk1k802kWl6RTJamPwibc,22.00000,25.19355
59,2jXb8AWz82Sn3RRGOaia7a,43.00000,52.00000
4,54cq3GApm5vu7lSp7P75DC,4.00000,4.00000
17,7hHFkd0a3q4JjSZs5krnss,25.00000,17.00000
7,4w6nmWdGPgSplrjs5xM4BI,7.50000,7.25000
15,5euYYAyrsLKSV3s9EpFv6c,28.00000,30.33333
9,7BZzMNbZC8DQqjTKfKk6FO,21.75000,26.05485
1,3tpVcIR1kHMYzjgES8Dpg3,38.00000,23.42857
5,5YOq25OC2JqMBBDHNDxIoX,9.75000,12.11765
9,6T3tUSUlaHGZMAdI5lMPtc,51.00000,24.40741
13,2e75GEAiwimYby4VD4QKIe,13.00000,13.00000
14,5iy3K0XmolMLHE1Z8Eqwnl,28.00000,27.00000
6,61lVIhg0ge1MEeGuA1UHsZ,3.25000,4.00000
5,0MkTYjq3YFMHbhEczpzcxx,13.00000,16.50000
12,5SQDx1d1tEpptg9je4XGYS,43.00000,8.00000
16,1gqTY48L61CaY4ZNUpc8wL,20.50000,19.00000
